Column,LatLong,Latitude,Longitude,City,cityURI,County,countyQID,State,stateQID
16561,29.83399 -95.43424,29.834,-95.4342,,,Fort Bend County,Q26895,Texas,Q1439
16579,32.13327 -91.67663,32.1333,-91.6766,,,Franklin Parish,Q504391,Louisiana,Q1588
16620,31.203515 -92.526735,31.2035,-92.5267,,,Rapides Parish,Q503870,Louisiana,Q1588
16640,34.364761 -90.639236,34.3648,-90.6392,Friars Point,Q2113775,Coahoma County,Q156575,Mississippi,Q1494
16648,30.47342 -83.87784,30.4734,-83.8778,,,Jefferson County,Q488859,Florida,Q812
16658,35.7581 -89.5415,35.7581,-89.5415,Ripley,Q1929828,Lauderdale County,Q502364,Tennessee,Q1509
16740,31.86404 -101.48055,31.864,-101.4806,Garden City,Q3025151,Glasscock County,Q109293,Texas,Q1439
16772,36.45355 -76.73194,36.4536,-76.7319,,,Gates County,Q509838,North Carolina,Q1454
16784,36.5036 -76.7688,36.5036,-76.7688,,,Gates County,Q509838,North Carolina,Q1454
16796,36.424185 -76.702195,36.4242,-76.7022,,,Gates County,Q509838,North Carolina,Q1454
16806,34.69019 -90.38269,34.6902,-90.3827,Tunica,Q658447,Tunica County,Q484668,Mississippi,Q1494
17147,35.8758 -88.84639,35.8758,-88.8464,,,Gibson County,Q502442,Tennessee,Q1509
17157,36.00696 -88.949345,36.007,-88.9493,,,Gibson County,Q502442,Tennessee,Q1509
17607,"35.55246,-89.57626",35.5525,-89.5763,Gift,Q116535263,Tipton County,Q474999,Tennessee,Q1509
17702,33.177805 -99.731345,33.1778,-99.7313,,,Haskell County,Q112768,Texas,Q1439
17710,33.39748 -93.43489,33.3975,-93.4349,Gin City,Q18326175,Lafayette County,Q61167,Arkansas,Q1612
17736,31.86433 -101.49375,31.8643,-101.4938,,,Glasscock County,Q109293,Texas,Q1439
17773,33.83246 -90.29789,33.8325,-90.2979,Glendora,Q2400426,Tallahatchie County,Q490251,Mississippi,Q1494
17813,33.84005 -90.297173,33.8401,-90.2972,Glendora,Q2400426,Tallahatchie County,Q490251,Mississippi,Q1494
17822,31.813711 -91.368898,31.8137,-91.3689,,,Tensas Parish,Q512911,Louisiana,Q1588
